1714,20,15,25,30,10,20,5,4,1,3,
1714,25,18,22,28,12,18,4,5,2,4,
1714,18,20,20,25,15,22,3,4,3,5,
1714,22,22,18,20,18,25,2,3,4,2,
1714,15,25,28,18,20,30,4,2,5,1,
1714,30,16,30,22,25,28,5,1,1,3,
1714,28,30,15,15,30,15,1,5,2,4,
1714,12,28,12,10,28,10,2,4,3,5,
1714,16,12,16,12,16,12,3,3,4,2,
1714,25,20,18,16,22,16,4,2,5,1,
1714,20,15,25,30,10,20,5,4,1,3,
1714,25,18,22,28,12,18,4,5,2,4,
1714,18,20,20,25,15,22,3,4,3,5,
1714,22,22,18,20,18,25,2,3,4,2,
1714,15,25,28,18,20,30,4,2,5,1,
1714,30,16,30,22,25,28,5,1,1,3,
1714,28,30,15,15,30,15,1,5,2,4,
1714,12,28,12,10,28,10,2,4,3,5,
1714,16,12,16,12,16,12,3,3,4,2,
1714,25,20,18,16,22,16,4,2,5,1,
1716,20,15,25,30,10,20,5,4,1,3,
1716,25,18,22,28,12,18,4,5,2,4,
1716,18,20,20,25,15,22,3,4,3,5,
1716,22,22,18,20,18,25,2,3,4,2,
1716,15,25,28,18,20,30,4,2,5,1,
1716,30,16,30,22,25,28,5,1,1,3,
1716,28,30,15,15,30,15,1,5,2,4,
1716,12,28,12,10,28,10,2,4,3,5,
1716,16,12,16,12,16,12,3,3,4,2,
1716,25,20,18,16,22,16,4,2,5,1,
1716,20,15,25,30,10,20,5,4,1,3,
1716,25,18,22,28,12,18,4,5,2,4,
1716,18,20,20,25,15,22,3,4,3,5,
1716,22,22,18,20,18,25,2,3,4,2,
1716,15,25,28,18,20,30,4,2,5,1,
1716,30,16,30,22,25,28,5,1,1,3,
1716,28,30,15,15,30,15,1,5,2,4,
1716,12,28,12,10,28,10,2,4,3,5,
1716,16,12,16,12,16,12,3,3,4,2,
1716,25,20,18,16,22,16,4,2,5,1,
1792,20,15,25,30,10,20,5,4,1,3,
1792,25,18,22,28,12,18,4,5,2,4,
1792,18,20,20,25,15,22,3,4,3,5,
1792,22,22,18,20,18,25,2,3,4,2,
1792,15,25,28,18,20,30,4,2,5,1,
1792,30,16,30,22,25,28,5,1,1,3,
1792,28,30,15,15,30,15,1,5,2,4,
1792,12,28,12,10,28,10,2,4,3,5,
1792,16,12,16,12,16,12,3,3,4,2,
1792,25,20,18,16,22,16,4,2,5,1,
1792,20,15,25,30,10,20,5,4,1,3,
1792,25,18,22,28,12,18,4,5,2,4,
1792,18,20,20,25,15,22,3,4,3,5,
1792,22,22,18,20,18,25,2,3,4,2,
1792,15,25,28,18,20,30,4,2,5,1,
1792,30,16,30,22,25,28,5,1,1,3,
1792,28,30,15,15,30,15,1,5,2,4,
1792,12,28,12,10,28,10,2,4,3,5,
1792,16,12,16,12,16,12,3,3,4,2,
1792,25,20,18,16,22,16,4,2,5,1,
1806,20,15,25,30,10,20,5,4,1,3,
1806,25,18,22,28,12,18,4,5,2,4,
1806,18,20,20,25,15,22,3,4,3,5,
1806,22,22,18,20,18,25,2,3,4,2,
1806,15,25,28,18,20,30,4,2,5,1,
1806,30,16,30,22,25,28,5,1,1,3,
1806,28,30,15,15,30,15,1,5,2,4,
1806,12,28,12,10,28,10,2,4,3,5,
1806,16,12,16,12,16,12,3,3,4,2,
1806,25,20,18,16,22,16,4,2,5,1,
2039,20,15,25,30,10,20,5,4,1,3,
2039,25,18,22,28,12,18,4,5,2,4,
2039,18,20,20,25,15,22,3,4,3,5,
2039,22,22,18,20,18,25,2,3,4,2,
2039,15,25,28,18,20,30,4,2,5,1,
2039,30,16,30,22,25,28,5,1,1,3,
2039,28,30,15,15,30,15,1,5,2,4,
